ref,PDF_id,article_type,authors,article_title,source_title,pub_year,doi,lead_author_institution_type,lead_author_affiliation,study_country,study_region,koaro,inanga, giant_kokopu,shortjaw_kokopu,banded_kokopu,spotted_galaxias,spatial_extent,spatial_extent_km,temporal,period_yrs,preiod_frq,survey,model,experiment,ex_field,ex_lab,review,review_method,method_other,diet,predation,competition,metabolism,disease,parasites,behaviour,movement ,migration,morphology,evolution,spawning,riparain,growth,genetics,eggs,larvae,juveniles,adults,demographics,sex_ratio,fecundity,mortality,age_size_structure,abundance_density,physiochemical_habitat,landuse,aquaculture,harvesting,method_development,conservation,restoration,invasive species,climate_change,stream,lake,ocean,landlocked,notes
115,179,J,Dantagnan H. Borquez AS. Valdebenito IN. Salgado IA. Serrano EA. Izquierdo MS.,"Lipid and Fatty Acid Composition During Embryo and Larval Development of Puye Galaxias Maculatus Jenyns,1842, Obtained from Estuarine, Freshwater and Cultured Populations",Journal of Fish Biology,2007,10.1111/j.1095-8649.2007.01339.x,tertiary,Universidad Catolica de Temuco,Chile,AraucanÌa,n,y,n,n,n,n,lab,na,y,0.083333333,7,y,n,y,n,y,n,na,na,n,n,n,n,n,n,n,n,n,y,n,n,n,y,n,y,y,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,n,n,
6,13,J,Rojo JH. Rodriguez P. Boy CC.,Morphological Differentiation in the Widespread Fish Galaxias Maculatus: Do Darker Environments Imply Bigger Eyes?,Hydrobiologia,2020,10.1007/s10750-020-04278-y,govt,Centro Austral de Investigaciones CientÌficas,Argentina,Patagonia,n,y,n,n,n,n,regional,1.5,n,0.083333333,na,y,n,n,n,n,n,na,na,n,n,n,n,n,n,n,n,n,y,n,n,n,n,n,n,n,n,y,n,n,n,n,n,n,y,n,n,n,n,n,n,n,n,y,y,n,y,
96,147,J,Hickford MJH. Cagnon M. Schiel DR.,"Predation, Vegetation and Habitat-Specific Survival of Terrestrial Eggs of a Diadromous Fish, Galaxias Maculatus (Jenyns, 1842)",Journal of Experimental Marine Biology and Ecology,2010,10.1016/j.jembe.2010.01.010,tertiary,UoC,NZ,Canterbury,n,y,n,n,n,n,regional,38,y,0.083333333,4,n,n,y,y,n,n,na,habitat manipulation,n,y,n,n,n,n,n,n,n,n,n,y,y,n,n,y,n,n,y,y,n,n,y,n,y,y,n,n,n,n,n,n,y,n,y,n,n,n,
79,123,J,Greer MJC. Closs GP. Crow SK. Hicks AS.,Complete Versus Partial Macrophyte Removal: The Impacts of Two Drain Management Strategies on Freshwater Fish in Lowland New Zealand Streams,Ecology of Freshwater Fish,2012,10.1111/j.1600-0633.2012.00569.x,tertiary,UoO,NZ,Southland,n,n,y,n,n,n,regional,5,y,0.166666666,2,y,n,y,y,n,n,na,habitat manipulation,n,n,n,n,n,n,n,y,n,n,n,n,n,n,n,n,n,n,y,y,n,n,n,n,y,y,n,n,n,n,n,n,n,n,y,n,n,n,
157,226,J,Charteris SC. Allibone RM. Death RG.,"Spawning Site Selection, Egg Development, and Larval Drift of Galaxias Postvectis and g-Fasciatus in a New Zealand Stream",New Zealand Journal of Marine and Freshwater Research,2003,10.1080/00288330.2003.9517184,tertiary,M,NZ,Taranaki,n,n,n,y,y,n,reach,na,y,0.166666666,8,y,n,n,n,n,n,na,tagging,n,n,n,n,n,n,y,y,n,n,n,y,y,n,n,y,y,,y,y,n,n,n,n,y,y,n,n,n,n,n,n,n,n,y,n,n,n,
262,346,J,Benzie V.,a Consideration of the Whitebait Stage of Galaxias Maculatus Attenuatus (Jenyns),New Zealand Journal of Marine and Freshwater Research,1968,10.1080/00288330.1968.9515255,tertiary,UoC,NZ,Canterbury,n,y,n,n,n,n,reach,5,y,0.208333333,38,y,n,n,n,n,n,na,na,n,n,n,n,n,n,n,n,y,y,n,n,n,n,n,n,n,y,n,n,n,n,n,n,n,n,n,n,y,n,n,n,n,n,y,n,n,n,
105,163,J,Jung CA. Barbee NC. Swearer SE.,"Post-Settlement Migratory Behaviour and Growth-Related Costs in Two Diadromous Fish Species, Galaxias Maculatus and Galaxias Brevipinnis",Journal of Fish Biology,2009,10.1111/j.1095-8649.2009.02275.x,tertiary,UoM,Australia,Victoria,y,y,n,n,n,n,regional,150,y,0.208333333,28,y,n,n,n,n,n,na,otolith rings,n,n,n,n,n,n,n,n,y,n,n,n,n,n,n,n,n,y,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,n,n,n,
286,380,J,Crook DA. White RW.,"Evaluation of subcutaneously implanted visual implant tags and coded wire tags for marking and benign recovery in a small scaleless fish,Galaxias truttaceus (Pisces: Galaxiidae)",Marine and Freshwater Research,1995,10.1071/MF9950943,tertiary,University of Tasmania,Australia,Tasmania,n,n,n,n,n,y,reach,0.3,y,0.3,4,y,n,n,n,n,n,na,tagging,n,n,n,n,n,n,n,y,n,n,n,n,n,n,n,n,n,n,y,n,n,n,n,n,n,n,n,n,n,y,n,n,n,n,y,n,n,n,
91,138,J,Mcewan AJ. Joy MK.,Monitoring a New Zealand Freshwater Fish Community using Passive Integrated Transponder (Pit) Technology; Lessons Learned and Recommendations for Future Use,New Zealand Journal of Marine and Freshwater Research,2011,10.1080/00288330.2010.541925,tertiary,Massey,NZ,Manawatu-Whanganui,y,n,n,y,n,n,reach,100,y,0.33,40,y,n,n,n,n,n,na,tagging,n,n,n,n,n,n,n,y,n,n,n,n,n,n,n,n,n,n,y,n,n,n,n,n,n,y,n,n,n,y,n,n,n,n,y,n,n,n,
66,106,J,Mcewan AJ. Joy MK.,"Responses of Three Pit-Tagged Native Fish Species to Floods in a Small, Upland Stream in New Zealand",New Zealand Journal of Marine and Freshwater Research,2013,10.1080/00288330.2013.773918,NA,NA,NZ,Manawatu-Whanganui,y,n,n,y,n,n,reach,100,y,0.333333332,4,y,n,n,n,n,n,na,tagging,n,n,n,n,n,n,y,y,n,n,n,n,n,n,n,n,n,n,y,n,n,n,n,n,n,y,n,n,n,n,n,n,n,n,y,n,n,n,
265,358,J,Orchard S. Schiel DR.,Whitebait conservation and protected areas at non-tidal rivermouths: integrating biogeography and environmental controls on ?nanga (Galaxias maculatus) spawning grounds,bioRxiv,2020,10.1101/2020.11.06.372243,tertiary,UoC,NZ,Canterbury,n,y,n,n,n,n,regional,45,y,0.333333332,4,y,n,n,n,n,n,na,na,n,n,n,n,n,n,n,n,y,n,n,y,y,n,n,y,n,n,n,y,n,y,n,n,y,y,n,n,n,n,n,n,n,n,y,n,n,n,egg production per catchemnt
24,35,J,Orchard S. Hickford MJ.,Census Survey Approach to Quantifying Nanga Spawning Habitat for Conservation and Management,New Zealand Journal of Marine and Freshwater Research,2018,10.1080/00288330.2017.1392990,tertiary,UoC,NZ,Canterbury,n,y,n,n,n,n,reach,2,y,0.333333333,4,y,n,n,y,n,n,na,na,n,n,n,n,n,n,n,n,n,n,n,y,y,n,n,y,n,n,y,n,n,n,n,n,y,y,n,n,n,y,n,n,n,n,y,n,n,n,
57,89,J,Mcewan AJ. Joy MK.,"Diel Habitat Use of Two Sympatric Galaxiid Fishes (Galaxias Brevipinnis and g-Postvectis) at Two Spatial Scales in a Small Upland Stream in Manawatu, New Zealand",Environmental Biology of Fishes,2014,10.1007/s10641-013-0191-x,NA,NA,NZ,Manawatu-Whanganui,y,n,n,y,n,n,reach,0.1,y,0.416666665,37,y,n,n,n,n,n,na,tagging,n,n,n,n,n,n,y,y,n,n,n,n,n,n,n,n,n,n,y,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,n,n,n,
224,304,J,Modenutti BE. Balseiro EG. Cervellini PM.,"Effect of the Selective Feeding of Galaxias-Maculatus (Salmoniformes, Galaxiidae) on Zooplankton of a South Andes Lake",Aquatic Sciences,1993,10.1007/BF00877259,tertiary,Universidad Nacional del Comahue,Argentina,Patagonia,n,y,n,n,n,n,basin,na,y,0.416666665,16,y,n,n,n,n,n,na,na,y,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,y,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,n,na,
10,17,J,Yungnickel MR. Hickford MJH. Schiel DR.,Spatio-Temporal Variation in Species Composition of New Zealand's Whitebait Fishery,New Zealand Journal of Marine and Freshwater Research,2020,10.1080/00288330.2020.1745854,tertiary,UoC,NZ,"Southland, Otago, Canterbury, West Coast, Nelson-Tasman, Marlborough, Wellington, Manawatu-Whanganui, Taranaki, Hawke's Bay, BoP, Waikato, Auckland",y,y,y,y,y,n,regional,1200,y,0.5,na,y,n,n,y,n,n,na,na,n,n,n,n,n,n,n,n,y,n,n,n,n,n,y,n,n,y,n,y,n,n,n,n,y,n,y,n,n,n,y,y,y,y,y,n,n,n,huge amount of interesting information
301,396,J,Sloane RD.,"The upstream movements of fish in the Plenty River, Tasmania.",Papers & Proceedings - Royal Society of Tasmania,1984,keep,tertiary,University of Tasmania,Australia,Tasmania,y,y,n,n,n,y,reach,0.005,y,0.5,na,y,n,n,n,n,n,na,na,n,n,n,n,n,n,n,n,y,n,n,n,n,n,n,n,n,y,n,n,n,n,n,n,n,y,n,n,n,n,n,n,n,n,y,n,n,n,
196,271,J,Taylor MJ. Graynoth E. James GD.,Abundance and Daytime Vertical Distribution of Planktonic Fish Larvae in an Oligotrophic South Island Lake,Hydrobiologia,2000,10.1023/A:1003965116777,tertiary,UoC,NZ,Canterbury,y,n,n,n,n,n,basin,17,y,0.666666664,7,y,n,n,n,n,n,na,na,n,y,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,n,n,y,n,n,n,n,y,y,n,n,n,n,n,n,n,n,n,y,n,y,"landlocked not explicity studied, but lack has no natural outflow. "
179,250,J,Rowe DK. Konui G. Christie KD.,"Population Structure, Distribution, Reproduction, Diet, and Relative Abundance of Koaro (Galaxias Brevipinnis) in a New Zealand Lake",Journal of the Royal Society of New Zealand,2002,10.1080/03014223.2002.9517695,CRI,NIWA,NZ,Waikato,y,n,n,n,n,n,basin,10,y,0.666666664,2,y,n,n,n,n,n,na,na,y,n,n,n,n,n,y,n,n,n,n,n,n,y,n,n,y,y,y,y,y,n,n,y,n,y,n,n,n,n,n,n,n,n,n,y,n,n,
86,132,J,Barbee NC. Hale R. Morrongiello J. Hicks A. Semmens D. Downes BJ. Swearer SE.,"Large-Scale Variation in Life History Traits of the Widespread Diadromous Fish, Galaxias Maculatus, Reflects Geographic Differences in Local Environmental Conditions",Marine and Freshwater Research,2011,10.1071/MF10284,tertiary,UoM,Australia,Victoria,n,y,n,n,n,n,regional,220,y,0.749999997,na,y,n,n,n,n,n,na,na,n,n,n,n,n,n,n,n,n,n,n,y,y,y,n,y,n,y,n,n,y,n,n,y,n,n,n,n,n,n,n,n,n,n,y,n,n,n,
