"ref","PDF_id","article_type","authors","article_title","source_title","pub_year","doi","lead_author_institution_type","lead_author_affiliation","study_country","study_region","koaro","inanga","giant_kokopu","shortjaw_kokopu","banded_kokopu","spotted_galaxias","spatial_extent","spatial_extent_km","temporal","period_yrs","preiod_frq","survey","model","experiment","ex_field","ex_lab","review","review_method","method_other","diet","predation","competition","metabolism","disease","parasites","behaviour","movement","migration","morphology","evolution","spawning","riparain","growth","genetics","eggs","larvae","juveniles","adults","demographics","sex_ratio","fecundity","mortality","age_size_structure","abundance_density","physiochemical_habitat","landuse","aquaculture","harvesting","method_development","conservation","restoration","invasive.species","climate_change","stream","lake","ocean","landlocked"
159,228,"J","DAVID B. STOFFELS RJ.","Spatial Organisation and Behavioural Interaction of Giant Kokopu (Galaxias Argenteus) in Two Stream Pools Differing in Fish Density","New Zealand Journal of Marine and Freshwater Research",2003,"10.1080/00288330.2003.9517169","tertiary","UoO","NZ","Otago","n","n","y","n","n","n","reach","0.3","n","na","na","y","n","n","n","n","n","na","na","n","n","y","n","n","n","y","n","n","n","n","n","n","n","n","n","n","n","y","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","y","n","n","n"
160,229,"J","GLOVA GJ.","a Test for Interaction Between Brown Trout (Salmo Trutta) and Inanga (Galaxias Maculatus) in an Artificial Stream","Ecology of Freshwater Fish",2003,"10.1046/j.1600-0633.2003.00019.x","CRI","NIWA","NZ","Canterbury","n","y","n","n","n","n","lab","0.01","n","na","na","n","n","y","n","y","n","na","interaction","n","y","y","n","n","n","y","n","n","n","n","n","n","n","n","n","n","n","y","n","n","n","y","n","n","y","n","n","n","n","n","n","y","n","y","n","n","n"
161,231,"J","KING KJ. YOUNG KD. WATERS JM. WALLIS GP.","Preliminary Genetic Analysis of Koaro (Galaxias Brevipinnis) in New Zealand Lakes: Evidence for Allopatric Differentiation among Lakes but Little Population Subdivision Within Lakes","Journal of the Royal Society of New Zealand",2003,"10.1080/03014223.2003.9517747","tertiary","UoO","NZ","Otago, BoP","y","n","n","n","n","n","regional","1020","n","na","na","y","n","n","n","n","n","na","genetics","n","n","n","n","n","n","n","n","n","n","y","n","n","n","y","n","n","n","y","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","y","n","n"
162,232,"J","MCDOWALL RM.","Impacts of Introduced Salmonids on Native Galaxiids in New Zealand Upland Streams: a New Look at an Old Problem","Transactions of the American Fisheries Society",2003,"10.1577/1548-8659(2003)132<0229:IOISON>2.0.CO;2","CRI","NIWA","NZ","na","y","y","y","y","y","n","regional","na","n","na","na","n","n","n","n","n","y","narrative","na","y","y","n","n","n","n","y","n","n","n","n","n","n","n","n","n","n","y","y","n","n","n","y","n","n","n","n","n","n","n","n","n","y","n","y","y","n","n"
163,233,"J","MCDOWALL RM.","Variation in Vertebral Number in Galaxiid Fishes (Teleostei : Galaxiidae): a Legacy of Life History, Latitude and Length","Environmental Biology of Fishes",2003,"10.1023/A:1023902922843","CRI","NIWA","Southern hemispere","na","y","y","y","y","y","n","international","na","n","na","na","n","n","n","n","n","y","narrative","na","n","n","n","n","n","n","n","y","n","y","y","n","n","n","n","n","n","y","y","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","na","na","na","na"
164,234,"J","NIKORA VI. ABERLE J. BIGGS BJF. JOWETT IG. SYKES JRE.","Effects of Fish Size, Time-to-Fatigue and Turbulence on Swimming Performance: a Case Study of Galaxias Maculatus","Journal of Fish Biology",2003,"10.1111/j.1095-8649.2003.00241.x","CRI","NIWA","NZ","Canterbury","n","y","n","n","n","n","lab","na","n","na","na","n","n","y","n","y","n","na","swimming","n","n","n","n","n","n","n","y","n","y","n","n","n","n","n","n","n","y","y","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","y","n","n","n"
165,236,"J","ROWE D. GRAYNOTH E. JAMES G. TAYLOR M. HAWKE L.","Influence of Turbidity and Fluctuating Water Levels on the Abundance and Depth Distribution of Small, Benthic Fish in New Zealand Alpine Lakes","Ecology of Freshwater Fish",2003,"10.1034/j.1600-0633.2003.00024.x","CRI","NIWA","NZ","Canterbury, Otago","y","n","n","n","n","n","regional","120","n","na","na","y","n","n","n","n","n","na","na","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","y","y","n","n","n","y","n","n","n","n","n","n","n","n","n","n","n","y","n","n"
166,237,"J","ROWE D. SMITH J.","Use of in-Stream Cover Types by Adult Banded Kokopu (Galaxias Fasciatus) in First-Order North Island, New Zealand, Streams","New Zealand Journal of Marine and Freshwater Research",2003,"10.1080/00288330.2003.9517188","CRI","NIWA","NZ","Waikato","n","n","n","n","y","n","regional","20","n","na","na","y","n","n","n","n","n","na","na","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","y","y","n","n","n","y","y","y","n","n","n","n","n","n","n","n","y","n","n","n"
167,238,"J","VIOZZI G. FLORES V.","Myxidium Biliare Sp N. (Myxozoa) from Gall Bladder of Galaxias Maculatus (Osmeriformes : Galaxiidae) in Patagonia (Argentina)","Folia Parasitologica",2003,"10.14411/fp.2003.034","tertiary","Universidad Nacional del Comahue","Argentina","Patagonia","n","y","n","n","n","n","basin","na","n","na","na","y","n","n","n","n","n","na","na","n","n","n","n","n","y","n","n","n","n","n","n","n","n","n","n","n","na","na","n","n","n","n","n","n","n","n","n","n","n","n","n","y","n","n","y","n","n"
168,239,"J","BAKER C. MONTGOMERY JC. DENNIS TE.","The Sensory Basis of Olfactory Search Behavior in Banded Kokopu (Galaxias Fasciatus)","Journal of Comparative Physiology a-Neuroethology Sensory Neural and Behavioral Physiology",2002,"10.1007/s00359-002-0329-3","CRI","NIWA","NZ","Auckland","n","n","n","n","y","n","lab","na","n","na","na","n","n","y","n","y","n","na","odour","n","n","n","n","n","n","y","n","n","n","n","n","n","n","n","n","n","n","y","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","y","n","n"
169,240,"J","BARRIGA JP. BATTINI M. MACCHI PJ. MILANO D. CUSSAC V.","Spatial and Temporal Distribution of Landlocked Galaxias Maculatus and Galaxias Platei (Pisces : Galaxiidae) in a Lake in the South American Andes","New Zealand Journal of Marine and Freshwater Research",2002,"10.1080/00288330.2002.9517092","tertiary","Universidad Nacional del Comahue","Argentina","Patagonia","n","y","n","n","n","n","basin","na","y","1.166666662","15","y","n","n","n","n","n","na","na","n","n","n","n","n","n","n","n","n","y","n","n","n","y","n","y","y","y","y","n","n","n","n","n","n","y","n","n","n","n","n","n","n","n","n","y","n","y"
170,241,"J","BONNETT ML. LAMBERT P.","Diet of Giant Kokopu, Galaxias Argenteus","New Zealand Journal of Marine and Freshwater Research",2002,"10.1080/00288330.2002.9517093","CRI","NIWA","NZ","na","n","n","y","n","n","n","regional","na","n","na","na","y","n","n","n","n","n","na","na","y","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","y","y","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","y","y","na","n"
171,242,"J","BONNETT ML. SYKES JRE.","Habitat Preferences of Giant Kokopu, Galaxias Argenteus","New Zealand Journal of Marine and Freshwater Research",2002,"10.1080/00288330.2002.9517067","CRI","NIWA","NZ","West Coast, Southland","n","n","y","n","n","n","regional","na","n","na","na","y","n","n","n","n","n","na","na","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","na","na","na","n","n","n","n","n","n","y","n","n","n","n","n","n","n","n","y","y","n","n"
172,243,"J","CHARTERIS SC. RITCHIE PA.","Identification of Galaxiid Nests, Emigrating Larvae and Whitebait, using Mitochondrial Dna Control Region Sequences","New Zealand Journal of Marine and Freshwater Research",2002,"10.1080/00288330.2002.9517131","tertiary","M","NZ","Taranaki","y","n","n","y","y","n","lab","100","n","na","na","y","n","n","n","y","n","na","rearing","n","n","n","n","n","n","n","n","y","n","n","n","n","n","y","y","y","y","y","n","n","n","n","n","n","n","n","n","n","y","n","n","n","n","y","n","n","n"
173,244,"J","DAVID B.","Threatened Fishes of the World: Galaxias Argenteus (Gmelin, 1789) (Galaxiidae)","Environmental Biology of Fishes",2002,"10.1023/A:1014990830642","tertiary","UoO","NZ","na","n","n","y","n","n","n","regional","na","n","na","na","n","n","n","n","n","y","narrative","na","n","y","n","n","n","n","y","y","n","y","n","y","n","y","n","y","y","y","y","n","n","n","n","n","n","y","n","n","y","n","n","n","y","n","y","y","y","y"
174,245,"J","DAVID B. CLOSS GP.","Behavior of a Stream-Dwelling Fish Before, During, and after High-Discharge Events","Transactions of the American Fisheries Society",2002,"10.1577/1548-8659(2002)131<0762:BOASDF>2.0.CO;2","tertiary","UoO","NZ","Otago","n","n","y","n","n","n","regional","5","y","2","2","y","n","n","n","n","n","na","tagging","n","n","n","n","n","n","n","y","n","n","n","n","n","n","n","n","n","n","y","n","n","n","n","n","n","y","n","n","n","n","n","n","n","n","y","n","n","n"
175,246,"J","DAVID B. CLOSS GP. ARBUCKLE CJ.","Distribution of Fish in Tributaries of the Lower Taieri/Waipori Rivers, South Island, New Zealand","New Zealand Journal of Marine and Freshwater Research",2002,"10.1080/00288330.2002.9517132","tertiary","UoO","NZ","Otago","y","y","y","n","y","n","regional","50","n","na","na","y","n","n","n","n","n","na","na","n","n","y","n","n","n","y","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","y","n","n","","n","n","n","y","n","y","n","n","n"
