"ref","PDF_id","article_type","authors","article_title","source_title","pub_year","doi","lead_author_institution_type","lead_author_affiliation","study_country","study_region","koaro","inanga","giant_kokopu","shortjaw_kokopu","banded_kokopu","spotted_galaxias","spatial_extent","spatial_extent_km","temporal","period_yrs","preiod_frq","survey","model","experiment","ex_field","ex_lab","review","review_method","method_other","diet","predation","competition","metabolism","disease","parasites","behaviour","movement","migration","morphology","evolution","spawning","riparain","growth","genetics","eggs","larvae","juveniles","adults","demographics","sex_ratio","fecundity","mortality","age_size_structure","abundance_density","physiochemical_habitat","landuse","aquaculture","harvesting","method_development","conservation","restoration","invasive.species","climate_change","stream","lake","ocean","landlocked"
196,271,"J","TAYLOR M. GRAYNOTH E. JAMES G.","Abundance and Daytime Vertical Distribution of Planktonic Fish Larvae in an Oligotrophic South Island Lake","Hydrobiologia",2000,"10.1023/A:1003965116777","tertiary","UoC","NZ","Canterbury","y","n","n","n","n","n","basin","17","y","0.666666664","7","y","n","n","n","n","n","na","na","n","y","n","n","n","n","n","n","n","n","n","n","n","n","n","n","y","n","n","y","n","n","n","n","y","y","n","n","n","n","n","n","n","n","n","y","n","y"
197,272,"J","TREJO A. SEMENAS L. VIOZZI G.","Acanthocephalus Tumescens (Acanthocephala, Echinorhynchidae) in Galaxias Maculatus (Pisces, Galaxiidae) of Lake Gutierrez, Patagonia, Argentina","Journal of Parasitology",2000,"10.1645/0022-3395(2000)086[0188:ATAEIG]2.0.CO;2","tertiary","Universidad Nacional del Comahue","Argentina","Patagonia","n","y","n","n","n","n","basin","na","y","2.249999999","24","y","n","n","n","n","n","na","na","n","n","n","n","n","y","n","n","n","n","n","n","n","n","n","n","na","na","na","n","n","n","n","n","n","n","n","n","n","n","n","n","y","n","n","y","n","na"
198,273,"J","VIOZZI G. FLORES V. DE NUNEZ MO.","Steganoderma Szidati N. Sp (Trematoda : Zoogonidae) from Galaxias Maculatus (Jenyns) and G. Platei Steindachner in Patagonia, Argentina","Systematic Parasitology",2000,"10.1023/A:1006390003572","tertiary","Universidad Nacional del Comahue","Argentina","Patagonia","n","y","n","n","n","n","regional","340","n","na","na","y","n","n","n","n","n","na","na","n","n","n","n","n","y","n","n","n","n","n","n","n","n","n","n","na","na","na","n","n","n","n","n","n","n","n","n","n","n","n","n","y","n","n","y","n","y"
199,274,"J","WATERS JM. DIJKSTRA LH. WALLIS GP.","Biogeography of a Southern Hemisphere Freshwater Fish: How Important is Marine Dispersal?","Molecular Ecology",2000,"10.1046/j.1365-294x.2000.01082.x","tertiary","UoO","Southern hemispere","na","n","y","n","n","n","n","international","10400","n","na","na","y","n","n","n","n","n","na","DNA","n","n","n","n","n","n","n","n","y","n","y","n","n","n","y","n","n","y","y","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","na","na","na","n"
200,275,"J","MACCHI PJ. CUSSAC V. ALONSO MF. DENEGRI MA.","Predation Relationships Between Introduced Salmonids and the Native Fish Fauna in Lakes and Reservoirs in Northern Patagonia","Ecology of Freshwater Fish",1999,"10.1111/j.1600-0633.1999.tb00074.x","tertiary","Universidad Nacional del Comahue","Argentina","Patagonia","n","y","n","n","n","n","regional","130","n","na","na","y","n","n","n","n","n","na","na","n","y","n","n","n","n","n","n","n","n","n","n","n","n","n","n","na","na","na","n","n","n","n","n","n","n","n","n","n","n","n","n","y","n","n","y","n","n"
201,276,"J","MCDOWALL RM. KELLY GR.","Date and Age at Migration in Juvenile Giant Kokopu, Galaxias Argenteus (Gmelin) (Teleostei : Galaxiidae) and Estimation of Spawning Season","New Zealand Journal of Marine and Freshwater Research",1999,"10.1080/00288330.1999.9516875","tertiary","UoC","NZ","West Coast, Southland","n","n","y","n","n","n","regional","690","y","2","2","y","n","n","n","n","n","na","na","n","n","n","n","n","n","n","n","y","n","n","n","n","y","n","n","n","y","n","y","n","n","n","y","n","n","n","n","n","n","n","n","n","n","y","n","n","n"
202,277,"J","REEBS SG.","Time-Place Learning Based on Food but not on Predation Risk in a Fish, the Inanga (Galaxias Maculatus)","Ethology",1999,"10.1046/j.1439-0310.1999.00390.x","tertiary","Universite de Moncton","NZ","Otago","n","y","n","n","n","n","lab","0.001","y","na","2","n","n","y","n","y","n","na","feeding","n","y","n","n","n","n","y","n","n","n","n","n","n","n","n","n","n","n","y","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","y","n","n","n"
203,278,"J","REVENGA J. SCHEINERT P.","Infections by Helminth Parasites in Puyenes, Galaxias Maculatus (Galaxiidae, Salmoniformes), from Southern Argentina with Special Reference to Tylodelphys Barilochensis (Digenea, Platyhelminthes)","Memorias Do Instituto Oswaldo Cruz",1999,"10.1590/S0074-02761999000500007","tertiary","Universidad Nacional del Comahue","Argentina","Patagonia","n","y","n","n","n","n","basin","na","n","na","na","y","n","n","n","n","n","na","na","n","n","n","n","n","y","n","n","n","n","n","n","n","n","n","n","na","na","na","n","n","n","n","n","n","n","n","n","n","n","n","n","y","n","n","y","n","na"
204,279,"J","ROWE D. CHISNALL BL. DEAN TL. RICHARDSON J.","Effects of Land Use on Native Fish Communities in East Coast Streams of the North Island of New Zealand","New Zealand Journal of Marine and Freshwater Research",1999,"10.1080/00288330.1999.9516864","CRI","NIWA","NZ","BoP","n","y","n","n","y","n","regional","200","n","na","na","y","n","n","n","n","n","na","na","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","y","y","n","n","n","n","y","n","y","n","n","n","n","n","n","n","y","n","n","n"
205,280,"J","WATERS JM. BURRIDGE CP.","Extreme Intraspecific Mitochondrial Dna Sequence Divergence in Galaxias Maculatus (Osteichthys : Galaxiidae). One of the World's Most Widespread Freshwater Fish","Molecular Phylogenetics and Evolution",1999,"10.1006/mpev.1998.0554","tertiary","UoT","Southern hemispere","na","n","y","y","y","y","n","international","9300","n","na","na","y","n","n","n","n","n","na","DNA","n","n","n","n","n","n","n","n","y","n","y","n","n","n","y","n","na","na","na","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","na","na","na","n"
206,282,"J","FLORES V. BACCALA N.","Multivariate Analyses in the Taxonomy of Two Species of Tylodelphys Diesing, 1850 (Trematoda : Diplostomidae) from Galaxias Maculatus (Teleostei : Galaxiidae)","Systematic Parasitology",1998,"10.1023/A:1006070008280","tertiary","Universidad Nacional del Comahue","Argentina","Patagonia","n","y","n","n","n","n","basin","40","n","na","na","y","n","n","n","n","n","na","na","n","n","n","n","n","y","n","n","n","n","n","n","n","n","n","n","na","na","na","n","n","n","n","n","n","n","n","n","n","n","n","n","y","n","n","y","n","na"
207,283,"J","JOWETT IG. HAYES JW. DEANS N. ELDON GA.","Comparison of Fish Communities and Abundance in Unmodified Streams of Kahurangi National Park with Other Areas of New Zealand","New Zealand Journal of Marine and Freshwater Research",1998,"10.1080/00288330.1998.9516827","CRI","NIWA","NZ","West Coast, Nelson-Tasman","y","y","y","y","y","n","regional","90","n","na","na","y","n","n","n","n","n","na","na","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","y","y","n","n","n","n","n","n","y","y","n","n","n","n","n","n","n","y","n","n","n"
208,284,"J","O'CONNOR WG. KOEHN JD.","Spawning of the Broad-Finned Galaxias, Galaxias Brevipinnis Gunther (Pisces : Galaxiidae) in Coastal Streams of Southeastern Australia","Ecology of Freshwater Fish",1998,"10.1111/j.1600-0633.1998.tb00176.x","govt","Department of Natural Resources and Environment","Australia","Victoria","y","n","n","n","n","n","basin","na","y","2","6","y","n","n","n","n","n","na","na","y","y","n","n","y","n","y","n","n","n","n","y","y","n","n","y","y","n","y","y","n","y","n","n","y","y","n","n","n","n","n","n","y","n","y","n","n","n"
209,285,"J","ROWE D. DEAN TL.","Effects of Turbidity on the Feeding Ability of the Juvenile Migrant Stage of Six New Zealand Freshwater Fish Species","New Zealand Journal of Marine and Freshwater Research",1998,"10.1080/00288330.1998.9516803","CRI","NIWA","NZ","Waikato","y","y","n","n","y","n","lab","na","n","na","na","n","n","y","n","y","n","na","feeding","y","n","n","n","n","n","y","n","n","n","n","n","n","n","n","n","n","y","n","n","n","n","n","n","n","y","n","n","n","n","n","n","n","n","y","n","n","n"
210,286,"J","BOUBEE JA. DEAN TL. WEST D. BARRIER RFG.","Avoidance of Suspended Sediment by the Juvenile Migratory Stage of Six New Zealand Native Fish Species","New Zealand Journal of Marine and Freshwater Research",1997,"10.1080/00288330.1997.9516745","CRI","NIWA","NZ","Waikato","y","y","n","n","y","n","lab","na","n","na","na","n","n","y","n","y","n","na","sediment","n","n","n","n","n","n","y","n","y","n","n","n","n","n","n","n","n","y","n","n","n","n","n","n","n","y","n","n","n","n","n","n","n","n","y","n","n","n"
211,287,"J","HICKS BJ.","Food Webs in Forest and Pasture Streams in the Waikato Region, New Zealand: a Study Based on Analyses of Stable Isotopes of Carbon and Nitrogen, and Fish Gut Contents","New Zealand Journal of Marine and Freshwater Research",1997,"10.1080/00288330.1997.9516796","tertiary","UoW","NZ","Waikato","n","n","n","n","y","n","basin","20","n","na","na","y","n","n","n","n","n","na","SIA","y","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","y","n","n","n","n","n","n","n","y","n","n","n","n","n","n","n","y","n","n","n"
212,288,"J","MCDOWALL RM.","Indigenous Vegetation Type and the Distribution of Shortjawed Kokopu, Galaxias Postvectis (Teleostei: Galaxiidae), in New Zealand","New Zealand Journal of Zoology",1997,"10.1080/03014223.1997.9518120","CRI","NIWA","NZ","Southland, West Coast, Nelson-Tasman, Wellington, Marlborough, Taranaki, BoP, Waikato, Northland, Auckland","n","n","n","y","n","n","regional","1300","n","na","na","y","n","n","n","n","n","na","na","n","n","n","n","n","n","n","n","n","n","n","n","y","n","n","n","n","na","na","n","n","n","n","n","n","y","y","n","n","n","n","n","n","n","y","na","na","na"
213,289,"J","SEMENAS L. TREJO A.","Redescription of Acanthocephalus Tumescens (von Linstow, 1896) (Palaeacanthocephala: Echinorhynchidae) in Galaxias Maculatus (Pisces: Galaxiidae) in Patagonia (Argentina)","Systematic Parasitology",1997,"10.1023/A:1005725919148","tertiary","Universidad Nacional del Comahue","Argentina","Patagonia","n","y","n","n","n","n","basin","40","n","na","na","y","n","n","n","n","n","na","na","n","n","n","n","n","y","n","n","n","n","n","n","n","n","n","n","na","na","na","n","n","n","n","n","n","n","n","n","n","n","n","n","y","n","n","y","n","na"
214,290,"J","DUFFY CAJ.","Pre-Spawning Mortality of Koaro (Galaxias Brevipinnis) in Apias Creek, North-East Ruahine Range, North Island, New Zealand (Note)","New Zealand Journal of Marine and Freshwater Research",1996,"10.1080/00288330.1996.9516727","govt","DoC","NZ","Hawkes Bay","y","n","n","n","n","n","basin","40","n","na","na","y","n","n","n","n","n","na","na","y","n","n","n","n","n","n","n","n","n","n","y","y","n","n","n","n","n","y","y","n","n","y","n","n","n","n","n","n","n","n","n","n","n","y","n","n","n"
215,291,"J","MCDOWALL RM. MAIN MR. WEST D. LYON GL.","Terrestrial and Benthic Foods in the Diet of the Shortjawed Kokopu, Galaxias Postvectis Clarke (Teleostei: Galaxiidae)","New Zealand Journal of Marine and Freshwater Research",1996,"10.1080/00288330.1996.9516713","CRI","NIWA","NZ","BoP, West Coast, Manawatu-Whanganui, Marlborough, Waikato","n","n","n","y","n","n","regional","850","n","na","na","y","n","n","n","n","n","na","SIA","y","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","na","na","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","y","n","n","n"
216,292,"J","TOWNSEND CR.","Invasion Biology and Ecological Impacts of Brown Trout Salmo Trutta in New Zealand","Biological Conservation",1996,"10.1016/0006-3207(96)00014-6","tertiary","UoO","NZ","na","y","n","n","n","n","n","na","na","n","na","na","n","n","n","n","n","y","narrative","na","n","y","y","n","n","n","n","n","n","n","n","n","n","n","n","n","na","na","na","n","n","n","n","n","n","n","n","n","n","n","n","n","y","n","na","na","na","na"
217,293,"J","BERRA TM. CROWLEY LELM. IVANTSOFF W. FUERST PA.","Galaxias Maculatus: An Explanation of Its Biogeography","Marine and Freshwater Research",1996,"10.1071/MF9960845","tertiary","Ohio State University","Southern hemispere","na","n","y","n","n","n","n","international","8900","n","na","na","n","n","n","n","n","y","na","na","n","n","n","n","n","n","n","n","y","n","y","n","n","n","y","n","na","na","na","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","y","n","n","n"
218,295,"J","HAYES JW.","Observations of Surface Feeding Behaviour in Pools by Koaro, Galaxias Brevipinnis","Journal of the Royal Society of New Zealand",1996,"10.1080/03014223.1996.9517508","industry","Cawthron","NZ","Nelson-Tasman","y","n","n","n","n","n","reach","0.025","n","na","na","y","n","n","n","n","n","na","na","y","n","n","n","n","n","y","n","n","n","n","n","n","n","n","n","n","n","y","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","y","n","n","n"
219,296,"J","JOWETT IG. RICHARDSON J. MCDOWALL RM.","Relative Effects of in-Stream Habitat and Land Use on Fish Distribution and Abundance in Tributaries of the Grey River, New Zealand","New Zealand Journal of Marine and Freshwater Research",1996,"10.1080/00288330.1996.9516735","CRI","NIWA","NZ","West Coast","y","n","n","y","y","n","basin","12","y","2","2","y","n","n","n","n","n","na","na","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","na","na","y","n","n","n","n","y","y","y","n","n","n","n","n","n","n","y","n","n","n"
220,297,"J","MCDOWALL RM. SUREN AM.","Emigrating Larvae of Koaro, Galaxias-Brevipinnis Gunther (Teleostei, Galaxiidae), from the Otira River, New-Zealand","New Zealand Journal of Marine and Freshwater Research",1995,"10.1080/00288330.1995.9516660","CRI","NIWA","NZ","West Coast","y","n","n","n","n","n","reach","5","n","na","na","y","n","n","n","n","n","na","na","n","n","n","n","n","n","n","n","y","n","n","n","n","n","n","n","y","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","y","n","n","n"
221,299,"J","MCDOWALL RM. ALLIBONE R.","Possible Competitive-Exclusion of Common River Galaxias (Galaxias-Vulgaris) by Koaro (g-Brevipinnis) Following Impoundment of the Waipori River, Otago, New-Zealand","Journal of the Royal Society of New Zealand",1994,"10.1080/03014223.1994.9517462","CRI","NIWA","NZ","Otago","y","n","n","n","n","n","basin","100","n","na","na","y","n","n","n","n","n","na","na","n","n","y","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","y","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","y","y","n","y"
222,300,"J","ALLIBONE R. WALLIS GP.","Genetic Variation and Diadromy in some Native New Zealand Galaxiids (Teleostei: Galaxiidae)","Biological Journal of the Linnean Society",1993,"10.1111/j.1095-8312.1993.tb00916.x","tertiary","UoO","NZ","Southland, West Coast, Nelson-Tasman, Canterbury, Otago","y","y","n","n","y","n","regional","750","n","na","na","y","n","n","n","n","n","na","genetics","n","n","n","n","n","n","n","n","y","n","y","n","n","n","y","n","na","na","na","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","na","na","na","y"
223,303,"J","CERVELLINI PM. BATTINI M. CUSSAC V.","Ontogenic Shifts in the Diet of Galaxias-Maculatus (Galaxiidae) and Odontesthes-Microlepidotus (Atherinidae)","Environmental Biology of Fishes",1993,"10.1007/BF00001724","tertiary","Universidad Nacional del Comahue","Argentina","Patagonia","n","y","n","n","n","n","basin","na","n","na","na","y","n","n","n","n","n","n","na","y","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","y","y","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","y","n","na"
224,304,"J","MODENUTTI BE. BALSEIRO EG. CERVELLINI PM.","Effect of the Selective Feeding of Galaxias-Maculatus (Salmoniformes, Galaxiidae) on Zooplankton of a South Andes Lake","Aquatic Sciences",1993,"10.1007/BF00877259","tertiary","Universidad Nacional del Comahue","Argentina","Patagonia","n","y","n","n","n","n","basin","na","y","0.416666665","16","y","n","n","n","n","n","na","na","y","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","y","y","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","y","n","na"
225,306,"J","ROWE D.","Disappearance of Koaro, Galaxias Brevipinnis, from Lake Rotopounamu, New-Zealand, Following the Introduction of Smelt, Retropinna-Retropinna","Environmental Biology of Fishes",1993,"10.1007/BF00012409","CRI","NIWA","NZ","Waikato","y","n","n","n","n","n","basin","1.2","n","na","na","y","n","n","n","n","n","na","na","n","y","y","n","n","n","n","n","n","n","n","n","n","n","n","n","n","","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","y","n","y"
226,307,"J","CUSSAC V. CERVELLINI PM. BATTINI M.","Intralacustrine Movements of Galaxias-Maculatus (Galaxiidae) and Ondontesthes-Microlepidotus (Atherinidae) During their Early Life-History","Environmental Biology of Fishes",1992,"10.1007/BF00002189","tertiary","Universidad Nacional del Comahue","Argentina","Patagonia","n","y","n","n","n","n","basin","na","y","1","na","y","n","n","n","n","n","na","na","n","n","n","n","n","n","n","n","y","n","n","n","n","y","n","n","y","y","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","y","n","na"
227,308,"J","ROWE D. SAXTON BA. STANCLIFF AG.","Species Composition of Whitebait (Galaxiidae) Fisheries in 12 Bay of Plenty Rivers, New-Zealand - Evidence for River Mouth Selection by Juvenile Galaxias-Brevipinnis (Gunther)","New Zealand Journal of Marine and Freshwater Research",1992,"10.1080/00288330.1992.9516517","govt","MAF","NZ","BoP","y","y","n","n","y","n","regional","100","y","3","na","y","n","n","n","n","n","na","na","n","n","n","n","n","n","n","n","y","n","n","n","n","n","n","n","n","y","n","n","n","n","n","n","n","n","y","n","n","n","n","n","n","n","y","n","n","n"
228,309,"J","GLOVA GJ. SAGAR PM.","Dietary and Spatial Overlap Between Stream Populations of a Native and Two Introduced Fish Species in New Zealand","Marine and Freshwater Research",1991,"10.1071/MF9910423","govt","MAF","NZ","Canterbury","y","n","n","n","n","n","reach","na","y","0.002777778","5","y","n","n","n","n","n","na","na","y","n","y","n","n","n","y","n","n","n","n","n","n","n","n","n","n","n","y","n","n","n","n","n","n","y","n","n","n","n","n","n","y","n","y","n","n","n"
229,310,"J","KUSABS IA. SWALES S.","Diet and Food Resource Partitioning in Koaro, Galaxias Brevipinnis (G„ºnther), and Juvenile Rainbow Trout, Oncorhynchus Mykiss (Richardson), in Two Taupo Streams, New Zealand","New Zealand Journal of Marine and Freshwater Research",1991,"10.1080/00288330.1991.9516485","tertiary","UoW","NZ","Waikato","y","n","n","n","n","n","basin","20","y","1","4","y","n","n","n","n","n","na","na","y","y","y","n","n","n","n","n","n","n","n","n","n","n","n","n","n","na","y","n","n","n","n","n","n","n","n","n","n","n","n","n","y","n","y","n","n","n"
230,311,"J","BOUBEE JA. SCHICKER KP. STANCLIFF AG.","Thermal Avoidance in Inanga, Galaxias-Maculatus (Jenyns), from the Waikato River, New-Zealand","New Zealand Journal of Marine and Freshwater Research",1991,"10.1080/00288330.1991.9516468","govt","MAF","NZ","Waikato","n","y","n","n","n","n","lab","na","n","na","na","n","n","y","n","y","n","na","temperature","n","n","n","n","n","n","y","n","n","n","n","n","n","n","n","n","n","y","y","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","y","n","n","n"
231,312,"J","MITCHELL CP.","Deposition of Galaxias-Fasciatus Eggs with Galaxias-Maculatus Eggs at a Tidal Site","New Zealand Journal of Marine and Freshwater Research",1991,"10.1080/00288330.1991.9516471","na","Fisheries Research Centre","NZ","BoP","n","y","n","n","y","n","reach","0.01","n","na","na","y","n","n","n","n","n","na","na","n","n","n","n","n","n","n","n","n","n","n","y","n","n","n","y","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","y","n","n","n"
232,313,"J","SWALES S. WEST D.","Distribution, Abundance and Conservation Status of Native Fish in some Waikato Streams in the North-Island of New-Zealand","Journal of the Royal Society of New Zealand",1991,"10.1080/03036758.1991.10420827","tertiary","UoW","NZ","Waikato","y","y","y","y","y","n","regional","55","n","na","na","y","n","n","n","n","n","na","na","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","y","y","n","n","n","n","y","n","y","n","n","n","n","n","n","n","y","n","n","n"
233,314,"J","HANCHET SM.","Effect of Land Use on the Distribution and Abundance of Native Fish in Tributaries of the Waikato River in the Hakarimata Range, North Island, New Zealand","New Zealand Journal of Marine and Freshwater Research",1990,"10.1080/00288330.1990.9516411","govt","MAF","NZ","Waikato","n","n","y","y","y","n","basin","20","n","na","na","y","n","n","n","n","n","na","na","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","na","na","y","n","n","n","n","y","n","y","n","n","n","n","n","n","n","y","n","n","n"
234,315,"J","MCDOWALL RM.","when Galaxiid and Salmonid Fishes Meet‚Äìa Family Reunion in New Zealand","Journal of Fish Biology",1990,"10.1111/j.1095-8649.1990.tb05018.x","govt","MAF","NZ","na","y","y","y","y","y","n","regional","na","n","na","na","n","n","n","n","n","y","narrative","na","n","y","y","n","n","n","n","n","n","n","n","n","n","n","n","n","n","y","y","n","n","n","n","n","n","n","n","n","n","n","n","n","y","n","y","y","n","y"
235,316,"J","SWALES. S.","Conservation Status of Large Galaxiids (Pisces, Galaxiidae) in Tributaries of the Waikato River, New-Zealand","Journal of Fish Biology",1990,"10.1111/j.1095-8649.1990.tb05043.x","tertiary","UoW","NZ","Waikato","y","n","y","y","y","n","regional","na","n","na","na","n","n","n","n","n","y","narrative","na","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","na","na","na","na","n","n","n","n","n","n","n","n","n","n","n","y","n","n","n","y","n","n","n"
236,317,"J","GLOVA GJ. SAGAR PM.","Feeding in a Nocturnally Active Fish, Galaxias Brevipinnis, in a New Zealand Stream","Marine and Freshwater Research",1989,"10.1071/MF9890231","govt","MAF","NZ","Canterbury","y","n","n","n","n","n","reach","2","n","0.002777778","5","y","n","n","n","n","n","na","na","y","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","y","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","y","n","n","n"
237,318,"J","MITCHELL CP.","Swimming Performances of some Native Freshwater Fishes","New Zealand Journal of Marine and Freshwater Research",1989,"10.1080/00288330.1989.9516354","govt","MAF","NZ","Waikato","n","y","n","n","y","n","lab","0.015","n","na","na","n","n","y","n","y","n","na","swimming","n","n","n","n","n","n","n","y","n","n","n","n","n","n","","n","n","y","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","y","n","n","n"
238,319,"J","MITCHELL CP.","Laboratory Culture of Galaxias-Maculatus and Potential Applications","New Zealand Journal of Marine and Freshwater Research",1989,"10.1080/00288330.1989.9516369","govt","MAF","NZ","Waikato","n","y","n","n","y","n","lab","na","n","na","na","n","n","y","n","y","n","na","breeding","n","n","n","n","n","n","n","n","n","n","n","y","n","y","n","y","y","y","y","y","n","y","y","n","n","n","n","y","n","n","n","n","n","n","y","n","n","n"
239,320,"J","BARKER JR. LAMBERT DM.","a Genetic-Analysis of Populations of Galaxias-Maculatus from the Bay of Plenty - Implications for Natal River Return","New Zealand Journal of Marine and Freshwater Research",1988,"10.1080/00288330.1988.9516304","tertiary","UoA","NZ","BoP","n","y","n","n","y","n","regional","7","n","na","na","y","n","n","n","n","n","na","DNA","n","n","n","n","n","n","n","n","y","n","y","n","n","n","y","n","n","na","na","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","y","n","n","n"
240,322,"J","SAGAR PM. ELDON GA.","Food and Feeding of Small Fish in the Rakaia River, New Zealand","New Zealand Journal of Marine and Freshwater Research",1983,"10.1080/00288330.1983.9515999","govt","MAF","NZ","Canterbury","y","n","n","n","n","n","reach","50","n","na","na","y","n","n","n","n","n","na","na","y","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","y","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","y","n","n","n"
241,323,"J","RYAN PA.","Energy Contents of some New Zealand Freshwater Animals","New Zealand Journal of Marine and Freshwater Research",1982,"10.1080/00288330.1982.9515971","tertiary","UoC","NZ","Canterbury","n","y","n","n","n","n","basin","na","n","na","na","y","n","n","n","n","n","na","na","n","y","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","y","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","y","n","n"
242,324,"J","MITCHELL CP. PENLINGTON BP.","Spawning of Galaxias-Fasciatus Gray (Salmoniformes, Galaxiidae)","New Zealand Journal of Marine and Freshwater Research",1982,"10.1080/00288330.1982.9515955","govt","MAF","NZ","Waikato","n","n","n","n","y","n","basin","na","n","na","na","y","n","n","n","n","n","na","na","n","y","n","n","n","n","n","n","n","n","n","y","y","n","n","y","n","n","y","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","y","n","n"
243,325,"J","JACKSON PD. WILLIAMS WD.","Effects of Brown Trout, Salmo Trutta L., on the Distribution of some Native Fishes in Three Areas of Southern Victoria","Marine and Freshwater Research",1980,"10.1071/MF9800061","tertiary","Monash University","Australia","Victoria","y","y","n","n","n","n","regional","240","n","na","na","y","n","n","n","n","n","na","na","n","y","y","n","n","n","n","n","n","n","n","n","n","n","n","n","n","na","na","y","n","n","n","n","y","n","n","n","n","n","n","n","y","n","y","n","n","n"
244,326,"J","MCDOWALL RM.","Charles Douglas, Explorer: His Notes on Freshwater Fishes","Journal of the Royal Society of New Zealand",1980,"10.1080/03036758.1980.10419452","govt","MAF","NZ","Canterbury","y","y","y","n","y","n","regional","na","n","na","na","n","n","n","n","n","y","narrative","na","n","n","n","n","n","n","y","n","n","n","n","n","n","n","n","n","n","n","y","n","n","n","n","n","n","y","n","n","y","n","n","","n","n","y","y","n","n"
245,327,"J","MCDOWALL RM.","Freshwater Fishes and Plate Tectonics in the Southwest Pacific","Palaeogeography, Palaeoclimatology, Palaeoecology",1980,"10.1016/0031-0182(80)90025-5","govt","MAF","NZ","Canterbury","y","y","n","n","n","n","international","na","n","na","na","n","n","n","n","n","y","narrative","na","n","n","n","n","n","n","n","n","y","n","y","n","n","n","n","na","na","na","na","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","y","n","y","n"
246,328,"J","ATKINS L.","Observations on the Glochidial Stage of the Freshwater Mussel Hyridella (Hyridella) Drape Ta (Iredale) (Mollusca: Pelecypoda)","Marine and Freshwater Research",1979,"10.1071/MF9790411","tertiary","La Trobe University","Australia","Victoria","n","y","n","n","n","n","reach","na","n","na","na","y","n","n","n","n","n","na","na","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","na","na","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","y","n","n","n"
247,329,"J","HOPKINS. CL.","Age-Related Growth-Characteristics of Galaxias-Fasciatus (Salmoniformes, Galaxiidae)","New Zealand Journal of Marine and Freshwater Research",1979,"10.1080/00288330.1979.9515779","govt","MAF","NZ","Canterbury, Wellington","n","n","n","n","y","n","regional","320","y","3","14","y","n","n","n","n","n","na","na","n","n","n","n","n","n","n","n","n","n","n","n","n","y","n","n","n","y","y","y","n","n","n","y","n","n","n","n","n","n","n","n","n","n","y","n","n","n"
248,330,"J","HOPKINS. CL.","Reproduction in Galaxias-Fasciatus Gray (Salmoniformes, Galaxiidae)","New Zealand Journal of Marine and Freshwater Research",1979,"10.1080/00288330.1979.9515797","govt","MAF","NZ","Canterbury","n","n","n","n","y","n","regional","na","y","2.5","14","y","n","n","n","n","n","na","na","n","n","n","n","n","n","n","n","n","n","n","y","n","y","n","y","n","y","y","y","y","y","n","n","n","n","n","n","n","n","n","n","n","n","y","n","n","n"
