"ID","name","value"
110,"a_3","CROW SK"
205,"a_2","CROWLEY LELM"
145,"a_1","CUSSAC V"
6,"a_1","CUSSAC VE"
22,"a_3","CUSSAC VE"
35,"a_1","CUSSAC VE"
66,"a_2","CUSSAC VE"
68,"a_3","CUSSAC VE"
80,"a_6","CUSSAC VE"
92,"a_6","CUSSAC VE"
115,"a_3","CUSSAC VE"
167,"a_5","CUSSAC VE"
186,"a_2","CUSSAC VE"
210,"a_3","CUSSAC VE"
212,"a_1","CUSSAC VE"
37,"a_3","DAMSTEEGT PM"
117,"a_1","DANTAGNAN H"
93,"a_1","DANTAGNAN P"
1,"a_5","DAVID BO"
15,"a_1","DAVID BO"
32,"a_3","DAVID BO"
55,"a_1","DAVID BO"
79,"a_1","DAVID BO"
99,"a_1","DAVID BO"
110,"a_1","DAVID BO"
144,"a_2","DAVID BO"
149,"a_1","DAVID BO"
157,"a_1","DAVID BO"
160,"a_2","DAVID BO"
163,"a_1","DAVID BO"
165,"a_1","DAVID BO"
190,"a_1","DAVID BO"
111,"a_2","DAVIES PE"
220,"a_1","DAVIES PE"
261,"a_1","DAVIES PE"
74,"a_2","DE LEANIZ CG"
96,"a_1","DE LEANIZ CG"
143,"a_3","DE NUNEZ MO"
184,"a_3","DE NUNEZ MO"
192,"a_3","DEAN TL"
197,"a_2","DEAN TL"
200,"a_2","DEAN TL"
196,"a_3","DEANS N"
154,"a_3","DEATH RG"
2,"a_2","DELGADO ML"
11,"a_1","DELGADO ML"
186,"a_4","DENEGRI MA"
164,"a_3","DENNIS TE"
179,"a_2","DIJKSTRA LH"
240,"a_2","DODOO DK"
240,"a_5","DOE NG"
70,"a_1","DOEHRING K"
88,"a_1","DOEHRING K"
89,"a_6","DOWNES BJ"
95,"a_4","DOWNES BJ"
102,"a_3","DOWNES BJ"
103,"a_3","DOWNES BJ"
105,"a_2","DOWNES BJ"
250,"a_1","DUFFY CAJ"
18,"a_3","DUGGAN IC"
7,"a_1","DUNN NR"
1,"a_3","EASTON RR"
13,"a_1","EGAN EMC"
243,"a_1","EIKAAS H"
134,"a_1","EIKAAS HS"
136,"a_1","EIKAAS HS"
140,"a_1","EIKAAS HS"
196,"a_4","ELDON GA"
263,"a_2","ELDON GA"
271,"a_2","ELDON GA"
84,"a_1","ENCINA-MONTOYA F"
106,"a_3","ENCINA F"
240,"a_1","ESSUMANG DK"
9,"a_2","FERNANDEZ DA"
59,"a_7","FERNANDEZ DA"
104,"a_3","FERNANDEZ DA"
9,"a_3","FIGUEROA DE"
21,"a_2","FIGUEROA DE"
128,"a_3","FINE JM"
161,"a_1","FLORES V"
184,"a_2","FLORES V"
194,"a_1","FLORES V"
12,"a_4","FLORES VR"
143,"a_1","FLORES VR"
151,"a_2","FLORES VR"
62,"a_2","FORBES EL"
52,"a_4","FORSTER ME"
75,"a_3","FORSTER ME"
42,"a_1","FRANKLIN PA"
73,"a_1","FRANKLIN PA"
71,"a_2","FRENCH RP"
36,"a_4","FUENTES J"
205,"a_4","FUERST PA"
259,"a_1","FULTON W"
74,"a_3","GAJARDO G"
96,"a_2","GAJARDO G"
80,"a_3","GARCIA-ASOREY M"
124,"a_1","GIL DE PERTIERRA AA"
101,"a_3","GILL HS"
123,"a_4","GILL HS"
129,"a_4","GILL HS"
146,"a_1","GLOVA GJ"
182,"a_1","GLOVA GJ"
254,"a_1","GLOVA GJ"
258,"a_1","GLOVA GJ"
27,"a_3","GLOVER AR"
45,"a_3","GLOVER AR"
52,"a_3","GLOVER CN"
58,"a_2","GLOVER CN"
67,"a_2","GLOVER CN"
75,"a_2","GLOVER CN"
40,"a_1","GONZALEZ-WEVAR C"
36,"a_2","GONZALEZ-WEVAR CA"
41,"a_1","GONZALEZ-WEVAR CA"
92,"a_7","GONZALEZ J"
6,"a_4","GORSKI K"
11,"a_2","GORSKI K"
23,"a_1","GORSKI K"
228,"a_1","GOSZTONYI AE"
33,"a_1","GRAY DP"
71,"a_5","GRAY S"
150,"a_2","GRAYNOTH E"
185,"a_2","GRAYNOTH E"
69,"a_1","GREER MJC"
145,"a_8","GROSS M"
10,"a_1","GUAGLIARDO S"
30,"a_4","GUTIERREZ M"
59,"a_6","GUTIERREZ M"
135,"a_3","GUTIERREZ P"
247,"a_2","GUTIRREZ PA"
2,"a_3","HABIT DE"
4,"a_4","HABIT E"
6,"a_5","HABIT E"
11,"a_3","HABIT E"
35,"a_2","HABIT E"
92,"a_1","HABIT E"
3,"a_7","HABIT EM"
23,"a_2","HABIT EM"
81,"a_3","HABIT EM"
116,"a_1","HAGGERTY JH"
89,"a_2","HALE R"
102,"a_1","HALE R"
103,"a_1","HALE R"
105,"a_1","HALE R"
107,"a_1","HALE R"
231,"a_3","HALE R"
79,"a_2","HAMER MP"
99,"a_2","HAMER MP"
232,"a_3","HAMILTON R"
238,"a_6","HAMMER MP"
255,"a_1","HANCHET SM"
110,"a_4","HANSEN EA"
139,"a_1","HANSEN EA"
144,"a_1","HANSEN EA"
237,"a_9","HARDIE SA"
33,"a_2","HARDING JS"
48,"a_2","HARDING JS"
243,"a_2","HARDING JS"
150,"a_5","HAWKE L"
196,"a_2","HAYES JW"
204,"a_1","HAYES JW"
5,"a_1","HERNAN ROJO J"
93,"a_3","HERNANDEZ M"
